,0
country,415
lead_time,378
agent,234
market_segment,219
total_of_special_requests,214
adr,143
room_upgraded,117
arrival_date_year,115
arrival_date_day_of_month,105
booking_changes,88
cancel_rate_history,81
revenue_per_night,77
month_num,77
required_car_parking_spaces,76
customer_type,74
previous_bookings_not_canceled,74
deposit_type,51
distribution_channel,48
total_nights,45
assigned_room_type,42
is_repeated_guest,26
stays_in_weekend_nights,20
meal,19
stays_in_week_nights,19
season,18
total_guests,15
children,14
previous_cancellations,14
adults,14
reserved_room_type,12
hotel,6
has_children,5
days_in_waiting_list,4
babies,0
is_long_stay,0
